pop_total,sex_total,sex_male,sex_female,age_median,households,race_total,race_white,race_black,race_native,race_asian,inc_total_pop,inc_no_pop,inc_with_pop,inc_pop_10k,inc_pop_1k_15k,inc_pop_15k_25k,inc_pop_25k_35k,inc_pop_35k_50k,inc_pop_50k_65k,inc_pop_65k_75k,inc_pop_75k,inc_median_ind,travel_total_to_work,travel_driving_to_work,travel_pt_to_work,travel_taxi_to_work,travel_cycle_to_work,travel_walk_to_work,travel_work_from_home,edu_total_pop,bachelor_male_25_34,master_phd_male_25_34,bachelor_male_35_44,master_phd_male_35_44,bachelor_male_45_64,master_phd_male_45_64,bachelor_male_65_over,master_phd_male_65_over,bachelor_female_25_34,master_phd_female_25_34,bachelor_female_35_44,master_phd_female_35_44,bachelor_female_45_64,master_phd_female_45_64,bachelor_female_65_over,master_phd_female_65_over,edu_total,edu_bachelor,edu_master,edu_phd,inc_median_household,inc_per_capita,employment_total_labor,employment_employed,employment_unemployed,housing_units_total,housing_units_occupied,housing_units_vacant,rent_median,property_value_total,property_value_median,vehicle_total_imputed,state,state_fips,county_fips,tract_fips,full_ct_fips,household_size_avg,sex_male_ratio,race_white_ratio,race_black_ratio,race_native_ratio,race_asian_ratio,travel_driving_ratio,travel_pt_ratio,travel_taxi_ratio,travel_cycle_ratio,travel_walk_ratio,travel_work_home_ratio,edu_bachelor_ratio,edu_master_ratio,edu_phd_ratio,edu_higher_edu_ratio,employment_unemployed_ratio,vehicle_per_capita,vehicle_per_household,vacancy_ratio,FIPS,car_sum,pickup,pickup_p,suv,suv_p,sedan,sedan_p,japan_p,us_p
4123,4123,2134,1989,39.2,1658,4123,3607,220,0,0,3316,810,2506,684,483,750,411,115,34,0,29,16114,1639,1091,272,17,26,137,51,3176,0,0,29,0,0,8,0,17,43,0,13,0,18,11,21,0,2875,124,19,0,23084,12284,3292,1867,1425,1722,1658,64,958,52,218500,1639,FL,12,86,5409,12086005409,2.486731001,0.517584283,0.874848411,0.053359204,0,0,0.665649786,0.165954851,0.010372178,0.015863331,0.083587553,0.031116534,0.043130435,0.006608696,0,0.04973913,0.432867558,0.397526073,0.98854041,0.037166086,12086005409,51,0,0,17,33.3333,25,49.0196,5.8824,7.8431
3726,3726,1970,1756,45,1490,3726,3338,47,188,0,3126,455,2671,710,329,805,433,248,80,17,49,16998,1683,1352,153,0,64,57,47,3084,58,0,0,28,64,10,33,18,0,0,0,23,100,68,19,0,2895,274,127,0,25850,16287,3126,1823,1303,1609,1490,119,1036,64,155200,1683,FL,12,86,5410,12086005410,2.500671141,0.528717123,0.895866881,0.012614063,0.050456253,0,0.803327392,0.090909091,0,0.038027332,0.033868093,0.027926322,0.094645941,0.043868739,0,0.13851468,0.416826615,0.451690821,1.129530201,0.073958981,12086005410,59,6,10.1695,16,27.1186,31,52.5424,5.0847,5.0847
2833,2833,1302,1531,39.3,1069,2833,2725,51,0,23,2312,256,2056,349,218,487,296,213,133,22,338,24156,1613,1429,0,8,31,46,83,2269,77,21,70,62,63,43,11,12,38,102,69,27,78,35,45,29,2099,451,276,30,40234,28062,2285,1683,602,1255,1069,186,1373,464,348300,1613,FL,12,86,6201,12086006201,2.650140318,0.45958348,0.961877868,0.018002118,0,0.008118602,0.885926844,0,0.004959702,0.019218847,0.028518289,0.051456913,0.214864221,0.131491186,0.01429252,0.360647928,0.26345733,0.569361101,1.50888681,0.148207171,12086006201,39,0,0,14,35.8974,15,38.4615,5.1282,2.5641
2334,2334,1103,1231,58,1242,2334,2223,9,0,63,2135,192,1943,105,289,297,162,343,241,106,400,36535,1238,978,54,0,5,35,130,2125,94,70,0,80,245,73,52,78,72,32,35,87,76,51,163,42,1976,737,307,130,61250,46131,2125,1261,864,1392,1242,150,1414,436,642900,1238,FL,12,86,6203,12086006203,1.879227053,0.472579263,0.952442159,0.003856041,0,0.026992288,0.789983845,0.04361874,0,0.004038772,0.028271405,0.105008078,0.372975709,0.155364372,0.065789474,0.594129555,0.406588235,0.53041988,0.996779388,0.107758621,12086006203,30,0,0,19,63.3333,7,23.3333,3.3333,6.6667
4251,4251,1829,2422,37.5,2174,4251,3867,63,8,48,3915,473,3442,524,274,723,399,299,448,229,546,29596,2756,2162,162,68,0,189,146,3803,193,166,17,39,44,51,13,122,166,217,126,176,195,73,73,40,3454,827,601,47,50682,38512,3803,2944,859,2583,2174,409,1427,308,287000,2756,FL,12,86,6205,12086006205,1.955381785,0.430251705,0.909668313,0.014820042,0.00188191,0.011291461,0.784470247,0.058780842,0.02467344,0,0.068577649,0.052975327,0.239432542,0.174001158,0.013607412,0.427041112,0.22587431,0.648318043,1.267709292,0.158343012,12086006205,67,0,0,16,23.8806,47,70.1493,2.9851,1.4925
3355,3355,1547,1808,41.7,1643,3355,3163,10,0,87,2833,323,2510,186,244,252,182,251,330,179,886,56818,1930,1550,108,0,8,80,160,2739,131,55,75,116,150,193,70,72,104,102,161,53,210,124,47,50,2569,948,375,156,71540,61870,2799,2086,713,2018,1643,375,1645,564,526900,1930,FL,12,86,6206,12086006206,2.041996348,0.461102832,0.942771982,0.002980626,0,0.025931446,0.803108808,0.055958549,0,0.004145078,0.041450777,0.082901554,0.369015181,0.145971195,0.060724017,0.575710393,0.254733834,0.575260805,1.174680463,0.185827552,12086006206,36,0,0,15,41.6667,18,50,0,2.7778
3604,3604,1702,1902,43,1158,3604,3342,168,0,0,3194,388,2806,309,380,772,385,424,189,73,274,23821,2031,1843,46,22,21,0,91,3145,0,28,97,24,65,0,14,15,88,38,62,54,142,69,21,0,2769,489,126,19,62767,27337,3166,2193,973,1269,1158,111,1353,449,398300,2031,FL,12,86,6501,12086006501,3.112262522,0.472253052,0.927302997,0.046614872,0,0,0.907434761,0.022648941,0.010832102,0.010339734,0,0.044805515,0.17659805,0.045503792,0.006861683,0.228963525,0.307327858,0.563540511,1.75388601,0.087470449,12086006501,32,2,6.25,5,15.625,20,62.5,3.125,3.125
2418,2418,1152,1266,47.9,959,2418,2147,83,0,14,2129,235,1894,336,253,327,276,185,143,64,310,26047,1165,1038,44,9,0,10,57,2102,13,23,80,37,120,32,29,28,22,59,12,58,53,31,57,17,1970,386,206,46,50391,29666,2125,1254,871,1023,959,64,1319,593,418300,1165,FL,12,86,6503,12086006503,2.521376434,0.476426799,0.887923904,0.034325889,0,0.005789909,0.890987124,0.03776824,0.007725322,0,0.008583691,0.048927039,0.195939086,0.104568528,0.023350254,0.323857868,0.409882353,0.481803143,1.214807091,0.062561095,12086006503,38,2,5.2632,9,23.6842,18,47.3684,0,5.2632
3393,3393,1733,1660,48.9,2048,3393,3062,82,0,107,3110,320,2790,357,170,365,315,139,235,68,1141,52269,1994,1537,38,19,45,136,186,3050,58,56,151,116,191,151,86,163,59,89,45,101,179,196,112,152,2922,881,675,174,77453,82641,3094,2175,919,2861,2048,813,2115,1094,468500,1994,FL,12,86,6705,12086006705,1.656738281,0.510757442,0.902446213,0.024167403,0,0.031535514,0.770812437,0.019057172,0.009528586,0.022567703,0.068204614,0.09327984,0.301505818,0.23100616,0.059548255,0.592060233,0.297026503,0.587680519,0.973632813,0.284166375,12086006705,6,0,0,1,16.6667,2,33.3333,16.6667,0
2890,2890,1561,1329,47.8,1270,2890,2811,52,0,27,2379,294,2085,162,109,186,172,156,185,70,1045,75060,1350,930,31,0,17,120,232,2317,166,0,38,68,140,234,34,194,122,62,23,87,175,122,106,93,2248,804,408,78,111136,80167,2344,1469,875,1775,1270,505,1736,873,920500,1350,FL,12,86,6801,12086006801,2.275590551,0.540138408,0.97266436,0.01799308,0,0.009342561,0.688888889,0.022962963,0,0.012592593,0.088888889,0.171851852,0.357651246,0.181494662,0.034697509,0.573843416,0.373293515,0.467128028,1.062992126,0.284507042,12086006801,25,3,12,6,24,14,56,16,8
