FIPS,car_sum,pickup,pickup_p,suv,suv_p,sedan,sedan_p,japan_p,us_p
12086005409,51,0,0,17,33.3333,25,49.0196,5.8824,7.8431
12086002705,9,0,0,1,11.1111,5,55.5556,0,0
12086005303,49,4,8.1633,10,20.4082,29,59.1837,8.1633,0
12086003706,25,0,0,5,20,13,52,4,12
12086003707,29,0,0,6,20.6897,22,75.8621,3.4483,0
12086006705,6,0,0,1,16.6667,2,33.3333,16.6667,0
12086006205,67,0,0,16,23.8806,47,70.1493,2.9851,1.4925
12086006201,39,0,0,14,35.8974,15,38.4615,5.1282,2.5641
12086006206,36,0,0,15,41.6667,18,50,0,2.7778
12086006203,30,0,0,19,63.3333,7,23.3333,3.3333,6.6667
12086005403,48,4,8.3333,12,25,21,43.75,6.25,8.3333
12071001300,12,1,8.3333,5,41.6667,1,8.3333,0,8.3333
12071001501,18,1,5.5556,5,27.7778,8,44.4444,0,11.1111
12071001601,13,0,0,5,38.4615,5,38.4615,0,15.3846
12071001602,10,1,10,2,20,5,50,10,10
12086005407,44,1,2.2727,7,15.9091,26,59.0909,2.2727,0
12086006503,38,2,5.2632,9,23.6842,18,47.3684,0,5.2632
12086006501,32,2,6.25,5,15.625,20,62.5,3.125,3.125
12035060213,11,3,27.2727,2,18.1818,4,36.3636,0,27.2727
12071001701,16,0,0,6,37.5,9,56.25,0,12.5
12071020102,10,2,20,3,30,3,30,10,0
12095014805,19,0,0,6,31.5789,10,52.6316,10.5263,5.2632
12019030304,20,1,5,4,20,12,60,0,0
12019030103,1,0,0,0,0,0,0,0,0
12019030303,32,2,6.25,4,12.5,8,25,0,0
12095016001,34,0,0,12,35.2941,22,64.7059,5.8824,5.8824
12083002402,2,0,0,0,0,0,0,0,0
12083002401,10,0,0,2,20,8,80,0,0
12083001301,6,2,33.3333,0,0,4,66.6667,0,0
12083002100,20,2,10,8,40,4,20,10,0
12083001401,16,0,0,4,25,4,25,12.5,0
12083002602,2,0,0,2,100,0,0,0,0
12083001900,28,2,7.1429,12,42.8571,8,28.5714,7.1429,14.2857
12095014302,46,2,4.3478,10,21.7391,20,43.4783,0,0
12083001102,12,2,16.6667,2,16.6667,6,50,0,0
12005001404,6,4,66.6667,2,33.3333,0,0,0,33.3333
12005000806,6,0,0,4,66.6667,2,33.3333,0,0
12005000805,22,2,9.0909,2,9.0909,8,36.3636,9.0909,9.0909
12005000803,18,2,11.1111,8,44.4444,6,33.3333,0,0
12095014806,18,4,22.2222,2,11.1111,12,66.6667,0,0
12095014810,12,4,33.3333,6,50,0,0,0,0
12057001001,20,2,10,2,10,6,30,0,10
12057011708,12,2,16.6667,8,66.6667,2,16.6667,0,0
12057014121,4,1,25,2,50,1,25,0,0
12057014104,1,0,0,0,0,1,100,0,0
12073002512,3,0,0,0,0,1,33.3333,0,0
12101031206,3,0,0,0,0,2,66.6667,0,0
12113010708,8,1,12.5,1,12.5,3,37.5,0,0
12117021306,5,0,0,0,0,5,100,0,0
12117021100,3,1,33.3333,0,0,1,33.3333,0,0
12117022101,21,3,14.2857,8,38.0952,5,23.8095,4.7619,19.0476
12095014502,10,4,40,2,20,1,10,0,0
12073002006,21,1,4.7619,4,19.0476,12,57.1429,0,0
12073001300,14,1,7.1429,3,21.4286,8,57.1429,0,0
12073001402,14,0,0,4,28.5714,7,50,0,14.2857
12095014813,13,4,30.7692,4,30.7692,3,23.0769,0,23.0769
12073000904,16,1,6.25,6,37.5,4,25,12.5,0
12095016002,9,0,0,3,33.3333,6,66.6667,0,0
12071010306,13,2,15.3846,4,30.7692,6,46.1538,0,15.3846
12071030300,2,1,50,0,0,1,50,0,0
12071000401,8,0,0,2,25,3,37.5,0,0
12095016406,18,1,5.5556,4,22.2222,12,66.6667,5.5556,0
12071020400,6,1,16.6667,3,50,1,16.6667,0,16.6667
12071020501,11,1,9.0909,3,27.2727,5,45.4545,0,9.0909
12095014904,14,1,7.1429,4,28.5714,5,35.7143,7.1429,7.1429
12005002604,21,3,14.2857,7,33.3333,6,28.5714,4.7619,19.0476
12005002608,2,1,50,0,0,0,0,0,0
12005002400,5,0,0,2,40,3,60,0,20
12071020502,10,3,30,1,10,3,30,0,0
12071020600,9,0,0,3,33.3333,5,55.5556,0,11.1111
12095016301,11,1,9.0909,6,54.5455,3,27.2727,9.0909,0
12005002300,17,2,11.7647,9,52.9412,3,17.6471,0,23.5294
12057011614,32,1,3.125,4,12.5,22,68.75,3.125,9.375
12103024804,24,0,0,4,16.6667,16,66.6667,0,4.1667
12103025417,14,0,0,5,35.7143,5,35.7143,0,0
12103025505,26,1,3.8462,7,26.9231,13,50,0,0
12103026101,8,1,12.5,1,12.5,4,50,0,0
12103026912,18,0,0,6,33.3333,6,33.3333,0,0
12103027210,9,1,11.1111,4,44.4444,4,44.4444,0,11.1111
12103024512,17,1,5.8824,7,41.1765,4,23.5294,5.8824,23.5294
12103024805,20,2,10,7,35,4,20,0,10
12113010812,3,0,0,0,0,2,66.6667,0,0
12086004106,12,1,8.3333,3,25,6,50,8.3333,0
12086000411,32,2,6.25,7,21.875,18,56.25,9.375,6.25
12086009026,41,0,0,13,31.7073,25,60.9756,9.7561,4.878
12086000126,12,0,0,5,41.6667,4,33.3333,8.3333,0
12086005410,59,6,10.1695,16,27.1186,31,52.5424,5.0847,5.0847
12095016302,22,1,4.5455,10,45.4545,6,27.2727,4.5455,0
12095016402,17,0,0,6,35.2941,9,52.9412,0,5.8824
12073000905,19,2,10.5263,4,21.0526,11,57.8947,0,5.2632
12073002005,20,1,5,3,15,11,55,0,5
12073002103,18,2,11.1111,8,44.4444,6,33.3333,5.5556,16.6667
12073002513,2,1,50,0,0,0,0,0,0
12073001901,5,0,0,1,20,0,0,0,20
12035060212,15,6,40,4,26.6667,1,6.6667,0,0
12095015002,9,3,33.3333,1,11.1111,2,22.2222,0,0
12095015003,31,6,19.3548,8,25.8065,12,38.7097,3.2258,6.4516
12071000402,5,1,20,0,0,4,80,0,0
12071000502,5,0,0,1,20,2,40,0,0
12001000301,24,1,4.1667,2,8.3333,15,62.5,4.1667,0
12071020700,3,0,0,0,0,3,100,0,0
12086010193,26,1,3.8462,8,30.7692,13,50,0,3.8462
12086010198,22,5,22.7273,8,36.3636,8,36.3636,0,0
12095014605,15,2,13.3333,6,40,4,26.6667,0,13.3333
12095015103,11,1,9.0909,2,18.1818,6,54.5455,9.0909,9.0909
12103027326,13,0,0,3,23.0769,10,76.9231,0,0
12103027327,5,0,0,2,40,3,60,0,60
12103028700,11,1,9.0909,2,18.1818,7,63.6364,9.0909,0
12103020108,6,0,0,3,50,1,16.6667,0,0
12103020207,2,0,0,0,0,2,100,0,0
12095015104,14,1,7.1429,2,14.2857,6,42.8571,0,0
12103025122,15,1,6.6667,6,40,4,26.6667,0,0
12103025123,17,2,11.7647,6,35.2941,6,35.2941,0,5.8824
12103025209,20,3,15,2,10,8,40,0,10
12103025307,16,1,6.25,5,31.25,5,31.25,0,12.5
12103025413,20,3,15,7,35,7,35,0,15
12103025412,15,1,6.6667,4,26.6667,5,33.3333,0,0
12086007300,18,1,5.5556,4,22.2222,8,44.4444,0,0
12086006801,25,3,12,6,24,14,56,16,8
