FIPS,property_value_median,pickup_p,suv_p,sedan_p,other_p
12086005407,300000.0,2.2727,15.9091,59.0909,22.727300000000007
12086006503,418300.0,5.2632,23.6842,47.3684,23.684199999999997
12086006501,398300.0,6.25,15.625,62.5,15.625
12035060213,195200.0,27.2727,18.1818,36.3636,18.181900000000006
12071001701,143000.0,0.0,37.5,56.25,6.25
12071020102,78200.0,20.0,30.0,30.0,20.0
12095014805,169400.0,0.0,31.5789,52.6316,15.789499999999997
12019030304,157300.0,5.0,20.0,60.0,15.0
12019030103,124400.0,0.0,0.0,0.0,100.0
12019030303,146800.0,6.25,12.5,25.0,56.25
12095016001,472100.0,0.0,35.2941,64.7059,0.0
12083002402,210600.0,0.0,0.0,0.0,100.0
12083002401,280400.0,0.0,20.0,80.0,0.0
12083001301,138600.0,33.3333,0.0,66.6667,0.0
12083002100,236900.0,10.0,40.0,20.0,30.0
12083001401,65100.0,0.0,25.0,25.0,50.0
12083002602,93300.0,0.0,100.0,0.0,0.0
12083001900,99100.0,7.1429,42.8571,28.5714,21.4286
12095014302,106600.0,4.3478,21.7391,43.4783,30.43479999999999
12083001102,124800.0,16.6667,16.6667,50.0,16.666600000000017
12005001404,226600.0,66.6667,33.3333,0.0,0.0
12005000806,180500.0,0.0,66.6667,33.3333,0.0
12005000805,145600.0,9.0909,9.0909,36.3636,45.45459999999999
12005000803,116700.0,11.1111,44.4444,33.3333,11.111200000000004
12095014806,278000.0,22.2222,11.1111,66.6667,0.0
12095014810,365900.0,33.3333,50.0,0.0,16.66669999999999
12057001001,128500.0,10.0,10.0,30.0,50.0
12057011708,538800.0,16.6667,66.6667,16.6667,0.0
12057014121,225800.0,25.0,50.0,25.0,0.0
12057014104,32200.0,0.0,0.0,100.0,0.0
12073002512,278600.0,0.0,0.0,33.3333,66.66669999999999
12101031206,95100.0,0.0,0.0,66.6667,33.333299999999994
12113010708,154600.0,12.5,12.5,37.5,37.5
12117021306,278100.0,0.0,0.0,100.0,0.0
12117021100,169900.0,33.3333,0.0,33.3333,33.33339999999999
12117022101,105000.0,14.2857,38.0952,23.8095,23.809599999999996
12095014502,57900.0,40.0,20.0,10.0,30.0
12073002006,158700.0,4.7619,19.0476,57.1429,19.047600000000003
12073001300,123980.0,7.1429,21.4286,57.1429,14.285600000000002
12073001402,103500.0,0.0,28.5714,50.0,21.428600000000003
12095014813,319600.0,30.7692,30.7692,23.0769,15.384700000000006
12073000904,143000.0,6.25,37.5,25.0,31.25
12095016002,848400.0,0.0,33.3333,66.6667,0.0
12071010306,211900.0,15.3846,30.7692,46.1538,7.692399999999999
12071030300,315600.0,50.0,0.0,50.0,0.0
12071000401,144900.0,0.0,25.0,37.5,37.5
12095016406,121300.0,5.5556,22.2222,66.6667,5.555499999999995
12071020400,228000.0,16.6667,50.0,16.6667,16.66660000000001
12071020501,46300.0,9.0909,27.2727,45.4545,18.18189999999999
12095014904,178500.0,7.1429,28.5714,35.7143,28.571400000000004
12005002604,205400.0,14.2857,33.3333,28.5714,23.809599999999993
12005002608,351000.0,50.0,0.0,0.0,50.0
12005002400,119800.0,0.0,40.0,60.0,0.0
12071020502,107400.0,30.0,10.0,30.0,30.0
12071020600,129700.0,0.0,33.3333,55.5556,11.111099999999993
12095016301,186900.0,9.0909,54.5455,27.2727,9.090899999999998
12005002300,126500.0,11.7647,52.9412,17.6471,17.646999999999995
12057011614,122700.0,3.125,12.5,68.75,15.625
12103024804,185700.0,0.0,16.6667,66.6667,16.666600000000003
12103025417,66300.0,0.0,35.7143,35.7143,28.57139999999999
12103025505,75800.0,3.8462,26.9231,50.0,19.2307
12103026101,232000.0,12.5,12.5,50.0,25.0
12103026912,87000.0,0.0,33.3333,33.3333,33.33339999999999
12103027210,186500.0,11.1111,44.4444,44.4444,0.00010000000000331966
12103024512,159100.0,5.8824,41.1765,23.5294,29.4117
12103024805,166200.0,10.0,35.0,20.0,35.0
12113010812,299400.0,0.0,0.0,66.6667,33.333299999999994
12086004106,1081100.0,8.3333,25.0,50.0,16.666700000000006
12086000411,171600.0,6.25,21.875,56.25,15.625
12086009026,154400.0,0.0,31.7073,60.9756,7.317099999999996
12086000126,244800.0,0.0,41.6667,33.3333,25.0
12086005410,155200.0,10.1695,27.1186,52.5424,10.1695
12095016302,205200.0,4.5455,45.4545,27.2727,22.727299999999993
12095016402,161800.0,0.0,35.2941,52.9412,11.764699999999998
12073000905,149900.0,10.5263,21.0526,57.8947,10.526399999999995
12073002005,105440.0,5.0,15.0,55.0,25.0
12073002103,91900.0,11.1111,44.4444,33.3333,11.111200000000004
12073002513,263400.0,50.0,0.0,0.0,50.0
12073001901,152800.0,0.0,20.0,0.0,80.0
12035060212,194500.0,40.0,26.6667,6.6667,26.666600000000003
12095015002,164700.0,33.3333,11.1111,22.2222,33.33339999999999
12095015003,157100.0,19.3548,25.8065,38.7097,16.129000000000005
12071000402,99500.0,20.0,0.0,80.0,0.0
12071000502,81200.0,0.0,20.0,40.0,40.0
12001000301,145000.0,4.1667,8.3333,62.5,25.0
12071020700,262000.0,0.0,0.0,100.0,0.0
12086010193,386100.0,3.8462,30.7692,50.0,15.384600000000006
12086010198,360900.0,22.7273,36.3636,36.3636,4.545500000000004
12095014605,75700.0,13.3333,40.0,26.6667,20.000000000000007
12095015103,178600.0,9.0909,18.1818,54.5455,18.181800000000003
12103027326,144800.0,0.0,23.0769,76.9231,0.0
12103027327,272200.0,0.0,40.0,60.0,0.0
12103028700,87600.0,9.0909,18.1818,63.6364,9.090899999999998
12103020108,289600.0,0.0,50.0,16.6667,33.3333
12103020207,231200.0,0.0,0.0,100.0,0.0
12095015104,141000.0,7.1429,14.2857,42.8571,35.714299999999994
12103025122,284200.0,6.6667,40.0,26.6667,26.666599999999995
12103025123,286300.0,11.7647,35.2941,35.2941,17.647099999999995
12103025209,165500.0,15.0,10.0,40.0,35.0
12103025307,186000.0,6.25,31.25,31.25,31.25
12103025413,84000.0,15.0,35.0,35.0,15.0
12103025412,213700.0,6.6667,26.6667,33.3333,33.33329999999999
12086007300,1104700.0,5.5556,22.2222,44.4444,27.7778
12086006801,920500.0,12.0,24.0,56.0,8.0
